Entity Type,Word,Count
Disease,transaminitis,2452
Disease,adenopathy,2448
Disease,pains,2443
Disease,aorta,2432
Disease,deformities,2429
Disease,anicteric,2419
Disease,polyp,2406
Disease,pylori,2387
Disease,arrhythmia,2383
Disease,kyphosis,2373
Disease,decreased,2365
Disease,Constipation,2364
Disease,aphasia,2360
Disease,Dementia,2353
Disease,CMO,2349
Disease,Mitral,2341
Disease,vision,2340
Disease,xanthomas,2338
Disease,palate,2325
Disease,SAH,2318
Disease,mets,2317
Disease,vomit,2309
Disease,exertional,2303
Disease,gastric,2293
Disease,S/p,2282
Disease,MSSA,2281
Disease,sounds,2274
Disease,presyncope,2265
Disease,Obesity,2260
Disease,melanoma,2254
Disease,wheezes,2252
Disease,bruits,2240
Disease,patent,2231
Disease,retention,2225
Disease,sleep,2218
Disease,anasarca,2216
Disease,neutropenia,2216
Disease,gallstones,2213
Disease,Shortness,2210
Disease,basilar,2199
Disease,Palate,2188
Disease,Small,2182
Disease,cataract,2180
Disease,COAG,2178
Disease,bipolar,2173
Disease,cholelithiasis,2171
Disease,necrotic,2155
Disease,perforation,2142
Disease,hematochezia,2137
Disease,desaturation,2122
Disease,cyst,2114
Disease,ATN,2114
Disease,intrahepatic,2109
Disease,pneumonitis,2107
Disease,retroperitoneal,2103
Disease,Cirrhosis,2094
Disease,thrombi,2083
Disease,mouth,2068
Disease,purulent,2067
Disease,Prematurity,2064
Disease,HIT,2062
Disease,DM2,2043
Disease,duct,2039
Disease,B,2037
Disease,Afebrile,2032
Disease,sudden,2019
Disease,NPH,2015
Disease,dilatation,2002
Disease,ecchymosis,1999
Disease,embolic,1997
Disease,Thrombocytopenia,1994
Disease,motion,1975
Disease,Osteoporosis,1974
Disease,Diverticulosis,1973
Disease,ketoacidosis,1969
Disease,shoulder,1967
Disease,fatty,1956
Disease,allergic,1955
Disease,branch,1938
Disease,retinopathy,1935
Disease,hypercarbic,1929
Disease,no,1922
Disease,alcoholic,1917
Disease,basal,1915
Disease,ill,1911
Disease,gastroparesis,1911
Disease,neuromuscular,1910
Disease,hypoxemia,1906
Disease,Cancer,1906
Disease,leukemia,1905
Disease,somnolence,1903
Disease,cerebellar,1898
Disease,dvt,1897
Disease,hemorrhages,1893
Disease,strokes,1883
Disease,NB,1881
Disease,arterial,1880
Disease,brain,1877
Disease,adenoma,1873
Disease,Dyspnea,1861
Disease,aureus,1857
Disease,Hyponatremia,1857
Disease,bruising,1854
Disease,hematomas,1852
Disease,bypass,1831
Disease,Stroke,1830
Disease,a,1828
Disease,compression,1822
Disease,epistaxis,1821
Disease,deficits,1813
Disease,alkalosis,1810
Disease,was,1806
Disease,HD,1804
Disease,pancytopenia,1802
Disease,Crohn,1802
Disease,TTP,1801
Disease,stones,1795
Disease,JP,1786
Disease,ARDS,1779
Disease,pressures,1774
Disease,hallucinations,1769
Disease,amputation,1760
Disease,thrush,1759
Disease,deficiency,1753
Disease,intraventricular,1750
Disease,buttock,1743
Disease,TB,1738
Disease,neurologic,1727
Disease,peritonitis,1709
Disease,Carotid,1709
Disease,hypodensities,1707
Disease,Trace,1703
Disease,laceration,1702
Disease,gastropathy,1700
Disease,angioplasty,1696
Disease,osteoarthritis,1693
Disease,ductal,1691
Disease,PCP,1688
Disease,LV,1682
Disease,Prostate,1682
Disease,Obstructive,1681
Disease,pre-renal,1681
Disease,bone,1679
Disease,orthostatic,1672
Disease,squamous,1669
Disease,rigidity,1657
Disease,Clostridium,1655
Disease,Tachycardia,1650
Disease,injuries,1636
Disease,vasospasm,1636
Disease,gait,1636
Disease,fasciculations,1629
Disease,viral,1621
Disease,lupus,1615
Disease,osteoporosis,1608
Disease,labor,1608
Disease,ovale,1605
Disease,temporal,1603
Disease,foramen,1602
Disease,N/V,1602
Disease,ground-glass,1597
Disease,bacterial,1596
Disease,ovarian,1596
Disease,pulmonic,1595
Disease,nstemi,1593
Disease,Arthritis,1591
Disease,Glaucoma,1590
Disease,DIC,1572
Disease,pneumocephalus,1567
Disease,varices,1560
Disease,Cholelithiasis,1558
Disease,sclerae,1555
Disease,Diastolic,1553
Disease,bundle,1552
Disease,in,1545
Disease,Bleed,1545
Disease,Diarrhea,1537
Disease,sinusitis,1533
Disease,tingling,1530
Disease,hypoxic,1527
Disease,diet,1524
Disease,bloody,1520
Disease,complaints,1512
Disease,hypercarbia,1510
Disease,Myocardial,1509
Disease,c,1507
Disease,bilious,1506
Disease,Parkinson,1506
Disease,prostatic,1504
Disease,hazy,1500
Disease,Diabetic,1499
Disease,neoplasm,1496
Disease,prosthesis,1493
Disease,preterm,1491
Disease,Stenosis,1485
Disease,toxicity,1475
Disease,aggressive,1473
Disease,itching,1466
Disease,stricture,1461
Disease,AMS,1460
Disease,C,1455
Disease,bronchitis,1454
Disease,paralysis,1454
Disease,neutropenic,1445
Disease,:,1444
Disease,pericardiocentesis,1438
Disease,vertigo,1435
Disease,pulm,1431
Disease,intra-abdominal,1430
Disease,size,1429
Disease,UTIs,1429
Disease,vasculitis,1428
Disease,pm,1417
Disease,aneurysmal,1416
Disease,decubitus,1403
Disease,consciousness,1401
Disease,empyema,1393
Disease,droop,1392
Disease,contusions,1391
Disease,ICH,1390
Disease,accident,1388
Disease,),1385
Disease,LVH,1381
Disease,free,1378
Disease,normocephalic,1378
Disease,Aorta,1377
Disease,dyslipidemia,1374
Disease,chamber,1367
Disease,gallstone,1363
Disease,meningioma,1359
Disease,hemiparesis,1359
Disease,reaction,1354
Disease,bandemia,1352
Disease,nasal,1351
Disease,variceal,1347
Disease,malformation,1347
Disease,claudication,1345
Disease,hypothermia,1344
Disease,vasogenic,1343
Disease,annular,1339
Disease,hemothorax,1333
Disease,visual,1326
Disease,replacement,1321
Disease,glaucoma,1318
Disease,comminuted,1316
Disease,alcoholism,1315
Disease,palsy,1315
Disease,serosanguinous,1310
Disease,vomitting,1310
Disease,substance,1305
Disease,bile,1304
Disease,hypovolemic,1300
Disease,hemolytic,1300
Disease,uremia,1299
Disease,Breast,1295
Disease,bronchiectasis,1294
Disease,tarry,1293
Disease,iliac,1291
Disease,sclerosis,1288
Disease,nephrolithiasis,1288
Disease,end,1286
Disease,on,1285
Disease,dyspneic,1284
Disease,postoperative,1282
Disease,pericarditis,1281
Disease,delerium,1278
Disease,myeloma,1278
Disease,Thickness,1277
Disease,pyelonephritis,1275
Disease,murmurs,1269
Disease,clostridium,1266
Disease,stasis,1265
Disease,History,1265
Disease,spasm,1264
Disease,jugular,1259
Disease,degenerative,1255
Disease,bioprosthetic,1255
Disease,thyroid,1248
Disease,Bipolar,1248
Disease,descending,1244
Disease,restenosis,1244
Disease,fungal,1224
Disease,watery,1223
Disease,gallbladder,1219
Disease,normal,1217
Disease,malnutrition,1216
Disease,Valve,1215
Disease,Kidney,1208
Disease,schizophrenia,1205
Disease,toxic,1204
Disease,Bibasilar,1203
Disease,RUQ,1202
Disease,white,1201
Disease,leaflets,1200
Disease,stone,1196
Disease,Disp:*10,1196
Disease,portal,1193
Disease,foot,1191
Disease,CVA,1189
Disease,sided,1188
Disease,leak,1187
Disease,AVM,1187
Disease,H/o,1186
Disease,vaginal,1185
Disease,diplopia,1182
Disease,Milk,1181
Disease,malalignment,1178
Disease,polysubstance,1171
Disease,aeruginosa,1169
Disease,polyps,1167
Disease,hypercalcemia,1161
Disease,esophagus,1159
Disease,sigmoid,1158
Disease,PD,1155
Disease,Upper,1154
Disease,Gastroesophageal,1152
Disease,hypoventilation,1149
Disease,proteus,1148
Disease,spine,1146
Disease,hypoglycemic,1145
Disease,(,1145
Disease,symptoms,1143
Disease,decompensation,1142
Disease,occipital,1142
Disease,Hyperbilirubinemia,1141
Disease,Alzheimer,1137
Disease,facial,1130
Disease,femur,1129
Disease,MMM,1126
Disease,Nausea,1118
Disease,rheumatic,1117
Disease,cerebrovascular,1114
Disease,infiltration,1111
Disease,diverticula,1109
Disease,repair,1106
Disease,am,1104
Disease,anorexia,1104
Disease,Systolic,1102
Disease,aneurysms,1101
Disease,Cardiomegaly,1099
Disease,Magnesia,1099
Disease,Ventricular,1095
Disease,duodenitis,1094
Disease,hypokalemia,1093
Disease,hearing,1093
Disease,Septal,1089
Disease,Infection,1084
Disease,herpes,1083
Disease,Bruit,1079
Disease,distal,1077
Disease,Gastrointestinal,1076
Disease,loose,1068
Disease,Cardiac,1067
Disease,his,1064
Disease,mesenteric,1059
Disease,slurred,1056
Disease,gastroesophageal,1052
Disease,Pancreatitis,1048
Disease,stoma,1047
Disease,UGIB,1044
Disease,Social,1044
Disease,PFO,1041
Disease,Cardiomyopathy,1037
Disease,NSVT,1030
Disease,hypoactive,1024
Disease,Bacteremia,1023
Disease,gangrene,1022
Disease,hepatorenal,1018
Disease,LVOT,1018
Disease,ganglia,1016
Disease,URI,1013
Disease,vertebral,1012
Disease,conjunctival,1008
Disease,microvascular,1006
Disease,migraine,1001
Disease,HIV,1000
Disease,tubular,997
Disease,resection,996
Disease,ideation,992
Disease,Esophageal,992
Disease,intermittent,990
Disease,Hypernatremia,984
Disease,autoimmune,983
Disease,thickening,983
Disease,Dilated,981
Disease,Delirium,981
Disease,hiatal,979
Disease,Wall,978
Disease,encephalopathic,976
Disease,subdural,973
Disease,azotemia,972
Disease,tachy,971
Disease,hypothyroid,969
Disease,angioedema,968
Disease,bundle-branch,967
Disease,fluid,966
Disease,rheumatoid,962
Disease,PUD,962
Disease,Lethargic,961
Disease,malignant,957
Disease,dysplasia,957
Disease,serous,956
Disease,icteric,956
Disease,osteopenia,953
Disease,firstname,951
Disease,ulcerative,949
Disease,congenital,946
Disease,cramping,945
Disease,peptic,943
Disease,atelectatic,942
Disease,active,941
Disease,compartment,940
Disease,dysmetria,940
Disease,HCC,938
Disease,cysts,937
Disease,Cor,934
Disease,epilepsy,933
Disease,end-stage,933
Disease,hemangioma,932
Disease,matter,931
Disease,tracheal,931
Disease,desaturations,927
Disease,fullness,926
Disease,cataracts,923
Disease,pneumatosis,923
Disease,arrhythmias,917
Disease,rhabdomyolysis,917
Disease,fevers/chills,915
Disease,left-sided,915
Disease,Liver,910
Disease,elevated,909
Disease,Septic,909
Disease,occlusive,908
Disease,joint,904
Disease,changes,903
Disease,marrow,902
Disease,w/,898
Disease,photophobia,897
Disease,lumbar,897
Disease,AFib,897
Disease,celiac,896
Disease,petechiae,896
Disease,Hyperkalemia,895
Disease,migraines,894
Disease,calculi,894
Disease,from,894
Disease,Infarction,892
Disease,osseous,891
Disease,consolidations,890
Disease,SVT,888
Disease,Colon,887
Disease,tooth,886
Disease,ataxia,885
Disease,cystic,884
Disease,Ascites,882
Disease,akinetic,881
Disease,Alcohol,879
Disease,damage,875
Disease,Pleural,875
Disease,pulseless,873
Disease,dullness,871
Disease,hypoperfusion,871
Disease,zoster,869
Disease,Erythema,869
Disease,Bleeding,868
Disease,End-stage,868
Disease,Seizures,868
Disease,encephalitis,866
Disease,nerves,866
Disease,heartburn,865
Disease,Lower,865
Disease,stools,864
Disease,paroxysmal,858
Disease,DVTs,858
Disease,hypodense,857
Disease,epilepticus,856
Disease,post,856
Disease,pitting,856
Disease,erosions,855
Disease,hepatocellular,855
Disease,atherosclerosis,855
Disease,IDDM,855
Disease,gastroenteritis,850
Disease,neurological,848
Disease,Hyperglycemia,848
Disease,Headache,846
Disease,cardiomyopathies,845
Disease,carinii,844
Disease,coags,841
Disease,iron,839
Disease, ,839
Disease,goiter,836
Disease,delirious,836
Disease,End,836
Disease,uterine,835
Disease,ventricle,834
Disease,rales,834
Disease,WNL,834
Disease,encephalomalacia,833
Disease,disability,830
Disease,Tumor,826
Disease,x,825
Disease,eosinophilia,824
Disease,hyperintensity,823
Disease,spondylosis,821
Disease,fibroids,821
Disease,partial,820
Disease,sarcoidosis,819
Disease,LAD,818
Disease,lateral,816
Disease,bleeds,814
Disease,transplant,812
Disease,pneumomediastinum,812
Disease,subgaleal,809
Disease,hemiplegia,808
Disease,impaired,807
Disease,b,806
Disease,nondysmorphic,804
Disease,tuberculosis,803
Disease,A,803
Disease,Bradycardia,800
Disease,vena,799
Disease,appetite,799
Disease,Ulcer,799
Disease,supraventricular,798
Disease,memory,796
Disease,Barrett,796
Disease,regimen,795
Disease,infarctions,795
Disease,Rash,794
Disease,VF,791
Disease,Syncope,790
Disease,arteriovenous,787
Disease,Transaminitis,787
Disease,leukopenia,786
Disease,Neuropathy,786
Disease,transfusions,782
Disease,ectopy,782
Disease,nerve,781
Disease,RV,780
Disease,Hypothyroid,780
Disease,Normocephalic,779
Disease,Cranial,779
Disease,Fracture,777
Disease,hand,776
Disease,pan-sensitive,775
Disease,Multiple,775
Disease,HCAP,775
Disease,DJD,773
Disease,tte,772
Disease,splenic,771
Disease,idiopathic,768
Disease,ALL,766
Disease,NSCLC,766
Disease,Hypertensive,765
Disease,discitis,761
Disease,tremulous,760
Disease,Thoracic,760
Disease,apraxia,756
Disease,asystole,755
Disease,hernias,755
Disease,arm,754
Disease,abcess,750
Disease,EtOH,749
Disease,totbili,748
Disease,grunting,748
Disease,Gastritis,746
Disease,Peptic,746
Disease,lv,742
Disease,complaint,742
Disease,lvef,741
Disease,ductus,741
Disease,Rheumatoid,741
Disease,intraparenchymal,740
Disease,ruptured,740
Disease,hemoperitoneum,739
Disease,cardiopulmonary,737
Disease,PERRL,737
Disease,decompensated,736
Disease,Syndrome,736
Disease,reduction,735
Disease,Sternal,735
Disease,unstable,733
Disease,asystolic,732
Disease,regional,732
Disease,thrombophlebitis,730
Disease,GVHD,730
Disease,pruritis,729
Disease,organ,728
Disease,enema,723
Disease,psychosis,723
Disease,Blood,722
Disease,diverticular,721
Disease,deficit,721
Disease,HL,721
Disease,Hematuria,721
Disease,stress,718
Disease,Shock,717
Disease,blurred,716
Disease,NIDDM,716
Disease,Hematoma,716
Disease,fascicular,714
Disease,tracheobronchomalacia,712
Disease,Trivial,712
Disease,pedal,711
Disease,granulomatous,710
Disease,umbilical,710
Disease,Diverticulitis,705
Disease,Aneurysm,705
Disease,night,704
Disease,myasthenia,704
Disease,myopathy,703
Disease,beats,701
Disease,hyponatremic,699
Disease,pneumonias,699
Disease,motion/position,698
Disease,external,694
Disease,cava,693
Disease,non-bloody,691
Disease,Pericardial,689
Disease,rib,688
Disease,thrombocytosis,687
Disease,ligamentous,686
Disease,coma,684
Disease,abdomen,682
Disease,arteriosus,682
Disease,HCV,681
Disease,nuchal,678
Disease,dilation,677
Disease,nephritis,677
Disease,voice,676
Disease,main,676
Disease,Coagulopathy,676
Disease,for,674
Disease,bloating,674
Disease,jirovecii,672
Disease,anoxic,671
Disease,cholangiocarcinoma,669
Disease,pneumoniae,667
Disease,AVR,667
Disease,haziness,666
Disease,tachypnic,665
Disease,subluxation,662
Disease,crohns,662
Disease,papillary,662
Disease,UTI,662
Disease,hepatomegaly,655
Disease,pseudomonal,655
Disease,thoracolumbar,650
Disease,myoclonus,649
Disease,glucose,648
Disease,granulomas,648
Disease,3,648
Disease,Dysphagia,648
Disease,Tablet(s,647
Disease,tracheomalacia,646
Disease,#,646
Disease,w,645
Disease,oliguria,645
Disease,4,645
Disease,Cellulitis,645
Disease,extensive,642
Disease,tortuosity,641
Disease,Nephrolithiasis,641
Disease,stiffness,640
Disease,Cough,640
Disease,cpap,637
Disease,deformity,634
Disease,midline,634
Disease,hyperparathyroidism,632
Disease,ETOH,632
Disease,extraocular,631
Disease,pacer,630
Disease,subclavian,629
Disease,thrombotic,629
Disease,aches,629
Disease,Tract,628
Disease,extrahepatic,627
Disease,joints,626
Disease,AML,624
Disease,loculated,623
Disease,line,620
Disease,Bypass,620
Disease,outflow,619
Disease,impairment,618
Disease,transudative,616
Disease,bronchial,615
Disease,disorders,615
Disease,Injury,615
Disease,speech,614
Disease,difficulties,614
Disease,calculus,613
Disease,post-obstructive,613
Disease,dehiscence,612
Disease,Leukocytosis,612
Disease,1,611
Disease,skull,610
Disease,Lung,610
Disease,proteinuria,608
Disease,cancers,607
Disease,bicuspid,607
Disease,AAA,607
Disease,Ulcerative,605
Disease,hydroureter,604
Disease,fainting,603
Disease,brady,600
Disease,Decreased,600
Disease,stridor,599
Disease,secondary,598
Disease,granuloma,598
Disease,oropharyngeal,598
Disease,Hypoglycemia,597
Disease,mildly,596
Disease,hyperplasia,596
Disease,restless,596
Disease,abrasions,595
Disease,Alcoholic,595
Disease,inguinal,594
Disease,Lymphoma,593
Disease,L,592
Disease,Subarachnoid,591
Disease,sl,589
Disease,transverse,589
Disease,pneumothoraces,589
Disease,pt,588
Disease,Psychiatric,588
Disease,lacunar,586
Disease,e/o,585
Disease,Cataract,585
Disease,thrive,583
Disease,ck,582
Disease,ascending,580
Disease,cognitive,579
Disease,Splenomegaly,579
Disease,anaphylaxis,578
Disease,nausea/vomiting,577
Disease,alveolar,576
Disease,erosion,573
Disease,phlegmon,573
Disease,r/o,572
Disease,cholestasis,570
Disease,coarse,570
Disease,Name,570
Disease,NTG,570
Disease,necrotizing,568
Disease,biventricular,568
Disease,psoriasis,566
Disease,chronically,565
Disease,proximal,564
Disease,extremities,563
Disease,hypercoagulable,563
Disease,crampy,562
Disease,hypodensity,562
Disease,cavitary,561
Disease,Pneumocystis,559
Disease,choledocholithiasis,558
Disease,orthostasis,558
Disease,thrombocytopenic,558
Disease,Endocarditis,558
Disease,Regurgitation,558
Disease,Descending,556
Disease,ICA,556
Disease,Migraines,555
Disease,hyperthyroidism,554
Disease,Metabolic,554
Disease,Atherosclerotic,553
Disease,posturing,552
Disease,stomach,552
Disease,Proteus,552
